35,32,28,3,3
36,18,11,5,3
30,25,28,4,5
45,51,28,4,3
30,16,24,3,4
22,23,6,6,4
28,23,3,4,3
43,24,6,3,4
,,,54,2
,,,67,3
,,,11,3
,,,20,4
,,,25,6
,,,3,4
,,,89,3
,,,70,3
,,,9,5
,,,12,5
,,,42,3
,,,7,4
,,,13,3
,,,13,5
,,,38,3
,,,6,7
,,,4,4
,,,74,4
,,,5,4
,,,3,4
,,,27,4
,,,55,3
,,,17,4
,,,20,3
,,,24,4
,,,6,3
,,,6,4
,,,18,3
,,,6,3
,,,8,3
,,,3,3
,,,20,3
,,,19,3
,,,11,4
,,,19,4
,,,9,3
,,,15,4
,,,9,2
,,,28,4
,,,6,4
,,,35,3
,,,21,5
,,,4,4
,,,4,4
,,,7,4
